Date;Korea, South;US;Italy;Spain;Germany
2020-01-22;1;1;0;0;0
2020-01-23;1;1;0;0;0
2020-01-24;2;2;0;0;0
2020-01-25;2;2;0;0;0
2020-01-26;3;5;0;0;0
2020-01-27;4;5;0;0;1
2020-01-28;4;5;0;0;4
2020-01-29;4;5;0;0;4
2020-01-30;4;5;0;0;4
2020-01-31;11;7;2;0;5
2020-02-01;12;8;2;1;8
2020-02-02;15;8;2;1;10
2020-02-03;15;11;2;1;12
2020-02-04;16;11;2;1;12
2020-02-05;19;11;2;1;12
2020-02-06;23;11;2;1;12
2020-02-07;24;11;3;1;13
2020-02-08;24;11;3;1;13
2020-02-09;25;11;3;2;14
2020-02-10;27;11;3;2;14
2020-02-11;28;12;3;2;16
2020-02-12;28;12;3;2;16
2020-02-13;28;13;3;2;16
2020-02-14;28;13;3;2;16
2020-02-15;28;13;3;2;16
2020-02-16;29;13;3;2;16
2020-02-17;30;13;3;2;16
2020-02-18;31;13;3;2;16
2020-02-19;31;13;3;2;16
2020-02-20;104;13;3;2;16
2020-02-21;204;15;20;2;16
2020-02-22;433;15;62;2;16
2020-02-23;602;15;155;2;16
2020-02-24;833;15;229;2;16
2020-02-25;977;15;322;6;17
2020-02-26;1261;15;453;13;27
2020-02-27;1766;16;655;15;46
2020-02-28;2337;16;888;32;48
2020-02-29;3150;24;1128;45;79
2020-03-01;3736;30;1694;84;130
2020-03-02;4335;53;2036;120;159
2020-03-03;5186;73;2502;165;196
2020-03-04;5621;104;3089;222;262
2020-03-05;6088;174;3858;259;482
2020-03-06;6593;222;4636;400;670
2020-03-07;7041;337;5883;500;799
2020-03-08;7314;451;7375;673;1040
2020-03-09;7478;519;9172;1073;1176
2020-03-10;7513;711;10149;1695;1457
2020-03-11;7755;1109;12462;2277;1908
2020-03-12;7869;1561;15113;2277;2078
2020-03-13;7979;2157;17660;5232;3675
2020-03-14;8086;2870;21157;6391;4585
2020-03-15;8162;2968;24747;7798;5795
2020-03-16;8236;4360;27980;9942;7272
2020-03-17;8320;6141;31506;11748;9257
2020-03-18;8413;8917;35713;13910;12327
2020-03-19;8565;14157;41035;17963;15320
2020-03-20;8652;19479;47021;20410;19848
2020-03-21;8799;25825;53578;25374;22213
2020-03-22;8961;33761;59138;28768;24873
2020-03-23;8961;43850;63927;35136;29056
2020-03-24;9037;54112;69176;39885;32986
2020-03-25;9137;66055;74386;49515;37323
2020-03-26;9241;84091;80589;57786;43938
2020-03-27;9332;102276;86498;65719;50871
2020-03-28;9478;122069;92472;73235;57695
2020-03-29;9583;141205;97689;80110;62095
2020-03-30;9661;162707;101739;87956;66885
2020-03-31;9786;188724;105792;95923;71808
2020-04-01;9887;214205;110574;104118;77872
2020-04-02;9976;244610;115242;112065;84794
2020-04-03;10062;276547;119827;119199;91159
2020-04-04;10156;309699;124632;126168;96092
2020-04-05;10237;337573;128948;131646;100123
2020-04-06;10284;367215;132547;136675;103374
2020-04-07;10331;397992;135586;141942;107663
2020-04-08;10384;429686;139422;148220;113296
2020-04-09;10423;464442;143626;153222;118181
2020-04-10;10450;497943;147577;158273;122171
2020-04-11;10480;527969;152271;163027;124908
2020-04-12;10512;556522;156363;166831;127854
2020-04-13;10537;581813;159516;170099;130072
2020-04-14;10564;608878;162488;172541;131359
2020-04-15;10591;637974;165155;177644;134753
2020-04-16;10613;669272;168941;184948;137698
2020-04-17;10635;701996;172434;190839;141397
2020-04-18;10653;730337;175925;191726;143342
2020-04-19;10661;756375;178972;198674;145184
2020-04-20;10674;783716;181228;200210;147065
2020-04-21;10683;809318;183957;204178;148291
2020-04-22;10694;837422;187327;208389;150648
2020-04-23;10708;871617;189973;213024;153129
