state;cases;changes;cases in the past 7 days;7-day incidence;deaths
Baden-Württem­berg;38480;58;598;5.4;1859
Bayern;52888;41;980;7.5;2631
Berlin;10238;42;522;13.9;224
Branden­burg;3697;2;51;2.0;169
Bremen;1841;6;38;5.6;56
Hamburg;5878;28;166;9.0;264
Hessen;13433;43;699;11.2;526
Meck­lenburg-Vor­pommern;972;2;31;1.9;20
Nieder­sachsen;15384;41;384;4.8;656
Nord­rhein-West­falen;54390;284;2612;14.6;1777
Rhein­land-Pfalz;8121;26;292;7.1;242
Saarland;3000;14;69;7.0;174
Sachsen;5730;11;76;1.9;225
Sachsen-Anhalt;2123;9;58;2.6;64
Schles­wig-Holstein;3782;14;192;6.6;158
Thüringen;3496;4;69;3.2;186
Gesamt;223453;625;6837;8.2;9231
